130.0.0.0/21,2635167,2635167,,0,0,,51.4964,-0.1224,200
130.0.8.0/21,587084,587116,,0,0,,40.3909,49.8759,1000
130.0.16.0/21,2921044,2921044,,0,0,,51.2993,9.4910,200
130.0.24.0/23,783754,783754,,0,0,,41.0000,20.0000,50
130.0.26.0/24,3183875,783754,,0,0,,41.3253,19.8184,100
130.0.27.0/24,3186084,783754,,0,0,,40.7058,19.9522,1000
130.0.28.0/24,783754,783754,,0,0,,41.0000,20.0000,50
130.0.29.0/24,3184081,783754,,0,0,,42.0653,19.5100,500
130.0.30.0/23,783754,783754,,0,0,,41.0000,20.0000,50
130.0.32.0/21,698740,690791,,0,0,65010,46.4633,30.7480,1
130.0.40.0/22,698740,690791,,0,0,65010,46.4633,30.7480,1
130.0.44.0/23,698740,690791,,0,0,65010,46.4633,30.7480,1
130.0.46.0/24,698740,690791,,0,0,65010,46.4633,30.7480,100
130.0.47.0/24,700569,690791,,0,0,54001,46.9659,31.9974,100
130.0.48.0/20,698740,690791,,0,0,65010,46.4633,30.7480,1
130.0.64.0/22,2782113,2782113,,0,0,,48.2000,16.3667,200
130.0.68.0/23,2761369,2782113,,0,0,1010,48.2049,16.3662,5
130.0.70.0/23,2782113,2782113,,0,0,,48.2000,16.3667,200
130.0.72.0/21,2921044,2921044,,0,0,,51.2993,9.4910,200
130.0.80.0/21,2643186,2635167,,0,0,SL6,51.5033,-0.6894,100
130.0.88.0/22,2643743,2921044,,0,0,SL1,51.5177,-0.6215,200
130.0.92.0/22,3194828,2921044,,0,0,,43.3433,17.8081,200
130.0.96.0/24,2986695,3017382,,0,0,22650,48.5802,-2.1458,5
130.0.97.0/24,3005593,3017382,,0,0,22690,48.4945,-1.9842,5
130.0.98.0/23,2986944,3017382,,0,0,22940,48.4073,-2.8173,5
130.0.100.0/25,2986803,3017382,,0,0,22210,48.1770,-2.5991,50
130.0.100.128/25,3031081,3017382,,0,0,22390,48.4742,-3.1816,1
130.0.101.0/24,2986952,3017382,,0,0,22800,48.4485,-2.8541,20
130.0.102.0/23,2986803,3017382,,0,0,22210,48.1770,-2.5991,50
130.0.104.0/24,2986683,3017382,,0,0,22490,48.5267,-2.0030,1
130.0.105.0/24,2986894,3017382,,0,0,22130,48.5234,-2.2301,1
130.0.106.0/24,2986066,3017382,,0,0,22590,48.5705,-2.8178,5
130.0.107.0/24,2986418,3017382,,0,0,22120,48.4677,-2.6265,1
130.0.108.0/24,3007481,3017382,,0,0,22290,48.6312,-2.9864,1
130.0.109.0/24,2997465,3017382,,0,0,22600,48.1783,-2.7543,5
