195.1.145.0/24,3133880,3144096,,0,0,7018,63.4399,10.3314,200
195.1.146.0/24,3145375,3144096,,0,0,1529,59.4241,10.6997,200
195.1.147.0/24,11048386,3144096,,0,0,1476,59.9251,10.9483,200
195.1.148.0/23,3144096,3144096,,0,0,,59.1987,9.5989,200
195.1.150.0/24,3159016,3144096,,0,0,3023,59.7483,10.1603,200
195.1.151.0/24,3144096,3144096,,0,0,,59.1987,9.5989,200
195.1.152.0/23,3143244,3144096,,0,0,0015,59.8479,10.7692,200
195.1.154.0/25,3143244,3144096,,0,0,0015,59.8479,10.7692,200
195.1.154.128/25,3133491,3144096,,0,0,3533,60.0829,10.0756,200
195.1.155.0/24,3133491,3144096,,0,0,3533,60.0829,10.0756,200
195.1.156.0/22,3143244,3144096,,0,0,0015,59.8479,10.7692,200
195.1.160.0/21,3143244,3144096,,0,0,1262,59.8479,10.7692,50
195.1.168.0/22,3143244,3144096,,0,0,1262,59.8479,10.7692,50
195.1.172.0/23,3140398,3144096,,0,0,3071,59.5901,10.1975,50
195.1.174.0/23,3143244,3144096,,0,0,1262,59.8479,10.7692,50
195.1.176.0/21,3144096,3144096,,0,0,,59.9452,10.7559,200
195.1.184.0/23,3133895,3144096,,0,0,9006,69.6342,18.9225,1000
195.1.186.0/27,3144096,3144096,,0,0,,59.9452,10.7559,200
195.1.186.32/28,3144096,3144096,,0,0,,59.9452,10.7559,200
195.1.186.48/29,3144096,3144096,,0,0,,59.9452,10.7559,200
195.1.186.56/31,3144096,3144096,,0,0,,59.9452,10.7559,200
195.1.186.58/32,3156764,3144096,,0,0,1330,59.9019,10.6362,200
195.1.186.59/32,3144096,3144096,,0,0,,59.9452,10.7559,200
195.1.186.60/30,3144096,3144096,,0,0,,59.9452,10.7559,200
195.1.186.64/27,3144096,3144096,,0,0,,59.9452,10.7559,200
195.1.186.96/28,3144096,3144096,,0,0,,59.9452,10.7559,200
195.1.186.112/29,3144096,3144096,,0,0,,59.9452,10.7559,200
