215.0.0.0/10,6252001,6252001,,0,0,,37.7510,-97.8220,1000
215.64.0.0/15,6252001,6252001,,0,0,,37.7510,-97.8220,1000
215.66.0.0/16,6252001,6252001,,0,0,,37.7510,-97.8220,1000
215.67.0.0/17,6252001,6252001,,0,0,,37.7510,-97.8220,1000
215.67.128.0/19,4544379,6252001,,0,0,,35.4662,-97.5168,1000
215.67.160.0/19,6252001,6252001,,0,0,,37.7510,-97.8220,1000
215.67.192.0/18,6252001,6252001,,0,0,,37.7510,-97.8220,1000
215.68.0.0/15,6252001,6252001,,0,0,,37.7510,-97.8220,1000
215.70.0.0/20,5175670,6252001,,0,0,45895,40.5719,-84.1760,1000
215.70.16.0/20,4509884,6252001,,0,0,45440,39.6710,-84.1122,500
215.70.32.0/19,6252001,6252001,,0,0,,37.7510,-97.8220,1000
215.70.64.0/18,6252001,6252001,,0,0,,37.7510,-97.8220,1000
215.70.128.0/19,6252001,6252001,,0,0,,37.7510,-97.8220,1000
215.70.160.0/19,4356050,6252001,,0,0,20876,39.1881,-77.2335,500
215.70.192.0/19,6252001,6252001,,0,0,,37.7510,-97.8220,1000
215.70.224.0/19,4511263,6252001,,0,0,45324,39.8026,-84.0154,500
215.71.0.0/19,6252001,6252001,,0,0,,37.7510,-97.8220,1000
215.71.32.0/19,4509884,6252001,,0,0,45458,39.6062,-84.1695,1000
215.71.64.0/22,4535740,6252001,,0,0,73034,35.6679,-97.4795,50
215.71.68.0/22,6252001,6252001,,0,0,,37.7510,-97.8220,1000
215.71.72.0/21,6252001,6252001,,0,0,,37.7510,-97.8220,1000
215.71.80.0/20,6252001,6252001,,0,0,,37.7510,-97.8220,1000
215.71.96.0/21,4736286,6252001,,0,0,,32.7787,-96.8217,1000
215.71.104.0/22,4736286,6252001,,0,0,,32.7787,-96.8217,1000
215.71.108.0/22,4930577,6252001,,0,0,01821,42.5511,-71.2560,1000
215.71.112.0/20,4543762,6252001,,0,0,73071,35.2338,-97.4095,1000
